Orator,Entity Type,Entity Phrase,Entity Root,Grouping,Seed Term,Sentence
bush,PERSON,Mr. President Pro Tempore,President Pro Tempore,,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,ORG,Congress,Congress,,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,NORP,fellow Americans,Americans,,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,ORG,the Union,Union,,,"Mr. Speaker, Mr. President Pro Tempore, members of Congress, and fellow Americans: In the normal course of events, Presidents come to this chamber to report on the state of the Union."
bush,PERSON,Todd Beamer,Todd Beamer,,,"We have seen it in the courage of passengers, who rushed terrorists to save others on the ground -- passengers like an exceptional man named Todd Beamer."
bush,PERSON,Lisa Beamer,Lisa Beamer,,,"And would you please help me to welcome his wife, Lisa Beamer, here tonight."
bush,ORG,the Congress,Congress,,,I thank the Congress for its leadership at such an important time.
bush,GPE,America,America,,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,ORG,Republicans,Republicans,,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,ORG,Democrats,Democrats,,,"All of America was touched on the evening of the tragedy to see Republicans and Democrats joined together on the steps of this Capitol, singing ""God Bless America."
bush,GPE,America,America,,,"America will never forget the sounds of our National Anthem playing at Buckingham Palace, on the streets of Paris, and at Berlin's Brandenburg Gate."
bush,GPE,Paris,Paris,,,"America will never forget the sounds of our National Anthem playing at Buckingham Palace, on the streets of Paris, and at Berlin's Brandenburg Gate."
bush,GPE,Seoul,Seoul,,,"We will not forget South Korean children gathering to pray outside our embassy in Seoul, or the prayers of sympathy offered at a mosque in Cairo."
bush,GPE,Cairo,Cairo,,,"We will not forget South Korean children gathering to pray outside our embassy in Seoul, or the prayers of sympathy offered at a mosque in Cairo."
bush,GPE,Australia,Australia,,,We will not forget moments of silence and days of mourning in Australia and Africa and Latin America.
bush,NORP,Pakistanis,Pakistanis,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,NORP,more than 130 Israelis,Israelis,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,India,India,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,El Salvador,El Salvador,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,Iran,Iran,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,Mexico,Mexico,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,Japan,Japan,,,"Nor will we forget the citizens of 80 other nations who died with our own: dozens of Pakistanis; more than 130 Israelis; more than 250 citizens of India; men and women from El Salvador, Iran, Mexico, and Japan; and hundreds of British citizens."
bush,GPE,America,America,,,America has no truer friend than Great Britain.
bush,GPE,Great Britain,Great Britain,,,America has no truer friend than Great Britain.
bush,GPE,America,America,,,so honored the British Prime Minister has crossed an ocean to show his unity with America.
bush,NORP,Americans,Americans,,,"Americans have known wars -- but for the past 136 years, they have been wars on foreign soil, except for one Sunday in 1941."
bush,NORP,Americans,Americans,,,Americans have known the casualties of war -- but not at the center of a great city on a peaceful morning.
bush,NORP,Americans,Americans,,,Americans have known surprise attacks -- but never before on thousands of civilians.
bush,NORP,Americans,Americans,,,Americans have many questions tonight.
bush,NORP,Americans,Americans,,,Americans are asking: Who attacked our country?
bush,ORG,al Qaeda,al Qaeda,,,The evidence we have gathered all points to a collection of loosely affiliated terrorist organizations known as al Qaeda.
bush,GPE,Tanzania,Tanzania,,,"They are some of the murderers indicted for bombing American embassies in Tanzania and Kenya, and responsible for bombing the USS Cole."
bush,GPE,Kenya,Kenya,,,"They are some of the murderers indicted for bombing American embassies in Tanzania and Kenya, and responsible for bombing the USS Cole."
bush,ORG,Al Qaeda,Al Qaeda,,,Al Qaeda is to terror what the mafia is to crime.
bush,ORG,the mafia,mafia,,,Al Qaeda is to terror what the mafia is to crime.
bush,NORP,Christians,Christians,,,"The terrorists' directive commands them to kill Christians and Jews, to kill all Americans, and make no distinctions among military and civilians, including women and children."
bush,NORP,Jews,Jews,,,"The terrorists' directive commands them to kill Christians and Jews, to kill all Americans, and make no distinctions among military and civilians, including women and children."
bush,NORP,all Americans,Americans,,,"The terrorists' directive commands them to kill Christians and Jews, to kill all Americans, and make no distinctions among military and civilians, including women and children."
bush,PERSON,Usama bin Laden,Usama bin Laden,,,"This group and its leader -- a person named Usama bin Laden -- are linked to many other organizations in different countries, including the Egyptian Islamic Jihad and the Islamic Movement of Uzbekistan."
bush,ORG,the Egyptian Islamic Jihad,Egyptian Islamic Jihad,,,"This group and its leader -- a person named Usama bin Laden -- are linked to many other organizations in different countries, including the Egyptian Islamic Jihad and the Islamic Movement of Uzbekistan."
bush,ORG,the Islamic Movement of Uzbekistan,Islamic Movement of Uzbekistan,,,"This group and its leader -- a person named Usama bin Laden -- are linked to many other organizations in different countries, including the Egyptian Islamic Jihad and the Islamic Movement of Uzbekistan."
bush,GPE,Afghanistan,Afghanistan,,,"They are recruited from their own nations and neighborhoods and brought to camps in places like Afghanistan, where they are trained in the tactics of terror."
bush,ORG,al Qaeda,al Qaeda,,,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
bush,GPE,Afghanistan,Afghanistan,,,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
bush,ORG,the Taliban regime,Taliban regime,,,The leadership of al Qaeda has great influence in Afghanistan and supports the Taliban regime in controlling most of that country.
bush,GPE,Afghanistan,Afghanistan,,,"In Afghanistan, we see al Qaeda's vision for the world."
bush,GPE,Afghanistan,Afghanistan,,,A man can be jailed in Afghanistan if his beard is not long enough.
bush,GPE,The United States,The United States,,,The United States respects the people of Afghanistan.
bush,GPE,Afghanistan,Afghanistan,,,The United States respects the people of Afghanistan.
bush,ORG,the Taliban regime,Taliban regime,,,"After all, we are currently its largest source of humanitarian aid; but we condemn the Taliban regime."
bush,ORG,the Taliban regime,Taliban regime,,,"By aiding and abetting murder, the Taliban regime is committing murder."
bush,GPE,the United States of America,the United States of America,,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,ORG,the Taliban,Taliban,,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,GPE,United States authorities,United States authorities,,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,ORG,al Qaeda,al Qaeda,,,"And tonight, the United States of America makes the following demands on the Taliban: Deliver to United States authorities all the leaders of al Qaeda who hide in your land."
bush,GPE,Afghanistan,Afghanistan,,,"Close immediately and permanently every terrorist training camp in Afghanistan, and hand over every terrorist, and every person in their support structure, to appropriate authorities."
bush,GPE,the United States,the United States,,,"Give the United States full access to terrorist training camps, so we can make sure they are no longer operating."
bush,ORG,The Taliban,Taliban,,,"The Taliban must act, and act immediately."
bush,NORP,Muslims,Muslims,,,I also want to speak tonight directly to Muslims throughout the world.
bush,NORP,Americans,Americans,,,"It's practiced freely by many millions of Americans, and by millions more in countries that America counts as friends."
bush,GPE,America,America,,,"It's practiced freely by many millions of Americans, and by millions more in countries that America counts as friends."
bush,GPE,America,America,,,The enemy of America is not our many Muslim friends; it is not our many Arab friends.
bush,ORG,al Qaeda,al Qaeda,,,"Our war on terror begins with al Qaeda, but it does not end there."
bush,NORP,Americans,Americans,,,"Americans are asking, why do they hate us?"
bush,GPE,Egypt,Egypt,,,"They want to overthrow existing governments in many Muslim countries, such as Egypt, Saudi Arabia, and Jordan."
bush,GPE,Saudi Arabia,Saudi Arabia,,,"They want to overthrow existing governments in many Muslim countries, such as Egypt, Saudi Arabia, and Jordan."
bush,GPE,Jordan,Jordan,,,"They want to overthrow existing governments in many Muslim countries, such as Egypt, Saudi Arabia, and Jordan."
bush,GPE,Israel,Israel,,,They want to drive Israel out of the Middle East.
bush,NORP,Christians,Christians,,,They want to drive Christians and Jews out of vast regions of Asia and Africa.
bush,NORP,Jews,Jews,,,They want to drive Christians and Jews out of vast regions of Asia and Africa.
bush,GPE,America,America,,,"With every atrocity, they hope that America grows fearful, retreating from the world and forsaking our friends."
bush,NORP,Nazism,Nazism,,,"By sacrificing human life to serve their radical visions -- by abandoning every value except the will to power -- they follow in the path of fascism, Nazism, and totalitarianism."
bush,NORP,Americans,Americans,,,Americans are asking: How will we fight and win this war?
bush,GPE,Iraq,Iraq,,,"Now this war will not be like the war against Iraq a decade ago, with a decisive liberation of territory and a swift conclusion."
bush,GPE,Kosovo,Kosovo,,,"It will not look like the air war above Kosovo two years ago, where no ground troops were used and not a single American was lost in combat."
bush,NORP,not a single American,American,,,"It will not look like the air war above Kosovo two years ago, where no ground troops were used and not a single American was lost in combat."
bush,NORP,Americans,Americans,,,"Americans should not expect one battle, but a lengthy campaign, unlike any other we have ever seen."
bush,GPE,the United States,the United States,,,"From this day forward, any nation that continues to harbor or support terrorism will be regarded by the United States as a hostile regime."
bush,NORP,Americans,Americans,,,We will take defensive measures against terrorism to protect Americans.
bush,ORG,the Office of Homeland Security,the Office of Homeland Security,,,"So tonight, I announce the creation of a Cabinet-level position reporting directly to me -- the Office of Homeland Security."
bush,NORP,a distinguished American,American,,,"And tonight I also announce a distinguished American to lead this effort, to strengthen American security: a military veteran, an effective governor, a true patriot, a trusted friend -- Pennsylvania's Tom Ridge."
bush,PERSON,Pennsylvania's Tom Ridge,Tom Ridge,,,"And tonight I also announce a distinguished American to lead this effort, to strengthen American security: a military veteran, an effective governor, a true patriot, a trusted friend -- Pennsylvania's Tom Ridge."
bush,ORG,FBI agents,FBI agents,,,"Many will be involved in this effort, from FBI agents to intelligence operatives to the reservists we have called to active duty."
bush,ORG,the damaged Pentagon,Pentagon,,,"And tonight, a few miles from the damaged Pentagon, I have a message for our military: Be ready."
bush,ORG,the Armed Forces,the Armed Forces,,,"I've called the Armed Forces to alert, and there is a reason."
bush,GPE,America,America,,,"The hour is coming when America will act, and you will make us proud."
bush,GPE,The United States,The United States,,,The United States is grateful that many nations and many international organizations have already responded -- with sympathy and with support.
bush,GPE,the NATO Charter,NATO Charter,,,Perhaps the NATO Charter reflects best the attitude of the world: An attack on one is an attack on all.
bush,NORP,Americans,Americans,,,Americans are asking: What is expected of us?
bush,GPE,America,America,,,"I ask you to uphold the values of America, and remember why so many have come here."
bush,GPE,New York,New York,,,"Those who want to give can go to a central source of information, libertyunites.org, to find the names of groups providing direct help in New York, Pennsylvania, and Virginia."
bush,GPE,Pennsylvania,Pennsylvania,,,"Those who want to give can go to a central source of information, libertyunites.org, to find the names of groups providing direct help in New York, Pennsylvania, and Virginia."
bush,GPE,Virginia,Virginia,,,"Those who want to give can go to a central source of information, libertyunites.org, to find the names of groups providing direct help in New York, Pennsylvania, and Virginia."
bush,ORG,FBI agents,FBI agents,,,"The thousands of FBI agents who are now at work in this investigation may need your cooperation, and I ask you to give it."
bush,GPE,America,America,,,"America is successful because of the hard work, and creativity, and enterprise of our people."
bush,ORG,Prayer,Prayer,,,"Prayer has comforted us in sorrow, and will help strengthen us for the journey ahead."
bush,NORP,my fellow Americans,Americans,,,Tonight I thank my fellow Americans for what you have already done and for what you will do.
bush,ORG,the Congress,Congress,,,"And ladies and gentlemen of the Congress, I thank you, their representatives, for what you have already done and for what we will do together."
