progress	function	hostile	interesting	text
0%	elevation			It is God that we thank and it is God whose help and forgiveness we seek and whose name we uphold against our own evil and our wrongdoings.
0%				Whoever is guided by God cannot be misled and whoever misleads can find no guidance.
1%	elevation			I declare that there is no God but Allah and that Muhammad is his subject and messenger.
1%				""""
1%				"O ye who believe, fear God as he should be feared and die not except in a state of Islam,"" ""O mankind, reverence your Guardian-Lord who created you from a single person, created, of like nature, his mate and from them twain scattered (like seeds) countless men and women; reverence God, through whom ye demand your mutual (rights) and (reverence)"
1%				"the wombs (that bore you) for God ever watches over you,"" ""O ye who believe, fear God and (always) say a word directed to the right, that he may make your conduct whole and sound and forgive you your sins."
1%				"He that obeys God and his apostle has already attained the highest achievement."""
1%				"[Koranic verses] Thank God who said: ""And reform is my only aim and only God can grant me success."
1%	elevation			"On him I depend and in him I believe."""
2%				"And thank God who said: ""Ye are the best of peoples evolved for mankind, enjoining what is right, forbidding what is wrong, and believing in God."""
2%				[Koranic verses]
2%				"Prayers and peace be upon his Prophet who said: ""People who see an unjust person and do nothing are about to be punished by God."""
2%				"You are not unaware of the injustice, repression, and aggression that have befallen Muslims through the alliance of Jews, Christians, and their agents, so much so that Muslims' blood has become the cheapest blood and their money and wealth are plundered by the enemies."
2%				Your blood has been spilled in Palestine and Iraq.
2%	othering			"The image of that dreadful massacre in Qana, Lebanon, is still vivid in one's mind, and so are the massacres in Tajikistan, Burma, Kashmir, Assam, the Philippines, Fatani [as transliterated], Ogaden, Somalia, Eritrea, Chechnya, and Bosnia-Herzegovina where hair-raising and revolting massacres were committed before the eyes of the entire world clearly in accordance with a conspiracy by the United States and its allies who banned arms for the oppressed there under the cover of the unfair United Nations."
2%	othering			"That alerted Muslims to the fact that they are the main target of the Jewish-crusade alliance aggression, and all the false claims about human rights fell under the blows and massacres committed against Muslims everywhere."
3%	elevation			"The latest aggression was one of the worst catastrophes to befall the Muslims since the death of the Prophet, may God's prayers and blessings be upon him."
3%				"It was the occupation of the land of the two holy mosques [Saudi Arabia], the cradle of Islam, the scene of the revelation, the source of the message, and the site of the holy Ka'bah, the qiblah [to which Muslims turn in prayer] of all Muslims, by Christian armies of the Americans and their allies."
3%	elevation			God is the source of all power.
3%	othering			"In the light of the reality we are going through and the blessed, sweeping awakening in the world at large and in the Islamic world in particular, I meet with you today after a long absence dictated by the unjust crusade campaign led by the United States against the ulema and advocates of Islam to prevent them from instigating the Islamic nation against its enemies, as did their predecessors, may God have mercy on their souls, such as Ibn-Taymiyah and al-'Izz Ibn-'Abd-al-Salam."
3%	othering			"And so, this Jewish-crusade alliance killed and detained the symbols of the truthful ulema and upholders of the call - and God is above everyone."
3%	othering			"It killed the mujahid Shaykh 'Abdallah 'Azzam and detained the mujahid Shaykh Ahmad Yasin in the land from which the Prophet, may God's prayers and blessings be upon him, ascended to heaven, and the mujahid Shaykh 'Umar 'Abd-al Rahman in the United States."
3%	othering			"And, at the behest of the United States, a very large number of ulema, advocates of the call, and youth were arrested in the land of the two holy mosques."
3%				"Prominent among them are Shaykh Salman al-'Awdah, Shaykh Safar al-Hawali, and their brother."
4%				Help comes from God who is the source of all power.
4%				"We were affected by that injustice in that we were prevented from addressing Muslims and were pursued in Pakistan, Sudan, and Afghanistan."
4%	elevation		implicit - largest superpower on earth	"Hence that long absence, but, thanks be to God, a safe base was found in Khorasan [Afghanistan], on the soil of the Hindu Kush where, thanks be to God, the largest heretic power on earth was destroyed and where the superpower myth vanished in the face of the mujahidin's outcry of Allah Akbar [God is great]."
4%				"Today, from the same land, from Afghanistan, we seek to end the injustice which has befallen the nation at the hands of the Jewish-crusade alliance, especially after the occupation of the land of the ascension of the Prophet [now Israel], may God's prayers and blessings be upon him, and the violation of the land of the two holy mosques."
4%	elevation			"We beseech God to give us victory, for that is in his hands and he is capable of granting it."
4%				"Today we begin to talk, work, and discuss ways of rectifying what has befallen the Islamic world in general and the land of the two holy mosques in particular."
4%				"We want to study the ways which could be used to rectify matters and restore rights to their owners as people have been subjected to grave danger and harm to their religion and their lives, people of all walks of life, civilians, military, security men, employees, merchants, people big and small, school and university students, and unemployed university graduates, in fact hundreds of thousands who constitute a broad sector of the society."
5%				"The same thing has befallen the people in industry and in agriculture, the cities and villages, and the people in the desert and the rural areas."
5%			Expression of ingroup negativity	Everyone is complaining about almost everything.
5%				"The situation in the land of the two holy mosques is like a gigantic volcano about to erupt and destroy heresy and corruption, whatever their source."
5%				"The explosions of Riyadh and al-Khubar were only a small indication of that torrential flood resulting from the bitter suffering, repression, coercion, great injustice, disgraceful debauchery, and poverty."
5%				People have been greatly preoccupied with matters of their livelihood.
5%				"Talk of economic decline, high prices, massive debts, and overcrowded prisons is widespread and endless in society."
5%				Low-income employees will talk to you about their debts running to tens and hundreds of thousands of riyals.
6%				They complain about the massive and continuing drop in the purchasing power of the riyal in comparison with most other major currencies.
6%				"Major traders and contractors will talk to you about the debts owed to them by the state running to hundreds of millions and even billions of riyals, increasing daily as a result of rates of usury."
6%				"The state's internal debts to the public have reached more than 340 billion riyals, not to mention the foreign debts."
6%			Rhetorical question much like bush	People are wondering: Is ours really the largest oil exporting country?
6%	othering			"They feel that God is tormenting them because they kept quiet about the regime's injustice and illegitimate actions, especially its failure to have recourse to the Shari'ah, its confiscation of people's legitimate rights, the opening of the land of the two holy mosques to the American occupiers, and the arbitrary jailing of the true ulema, heirs of the Prophets."
6%	elevation			"Good people who specialize in matters of religion, such as propagators of Islam and ulema, as well as experts in earthly matters such as traders, economists, and dignitaries, became alert to that affliction and each group did its best to act quickly to remedy the situation."
6%				Everyone agrees that the country is moving towards a deep abyss and a terrible calamity the extent of which only God knows.
7%	othering			"As one major businessman said, ""the king is leading the country to 60 calamities."" God is the source of all help and power."
7%				"Many princes share the public's concern and privately voice opposition to what is going on in the country in terms of terror, repression, and corruption."
7%				"The rivalry between princes overseeing their own personal interests has ruined the country and the regime has destroyed its legitimacy with its own hands through many actions, the most important being:"
7%				"1. Its suspension of the Islamic Shari'ah laws, replacing them with temporal laws, and its bloody confrontation with the truthful ulema and good youth - and God is above everyone."
7%				"2. Its failure to protect the country, opening it to the nation's enemies, the American crusader forces who have become the main cause of all aspects of our plight, especially the economic aspect as a result of the unjustified heavy expenditure on them and as a result of the policies they impose on the country, and particularly the oil policy determining the quantities of oil to be produced and setting the prices which suit their own economic interests ignoring the country's economic interests, and also as a result of the exorbitant arms deals imposed on the regime, to the point that people are wondering what good, then, is the regime?"
8%				"So, each group has made efforts to act quickly and evade the danger."
8%				"They offered advice secretly and openly, in verse and in prose, singly and in groups, and they sent petition after petition and memorandum after memorandum."
8%				They left no stone unturned and there was no influential person they did not include in their reformist moves.
8%				In their writings they applied the gentle and lenient method of wisdom and good advice calling for reform and penance for the major wrongdoings and corruption that transgressed the categorical religious limits and the public's legitimate rights.
8%				"Most regrettably, however, the only response they got from the regime was rejection, disregard, and ridicule."
8%				The matter did not stop at the point of just humiliating them but that was followed by greater and greater misdeeds throughout the land of the two holy mosques.
8%				"Therefore, silence was no longer appropriate and overlooking the facts was no longer acceptable."
8%				"When the excesses intensified and went beyond the limits of simple wrongdoings and misdeeds to violation of the clear basis of Islam, a group of ulema and religious preachers grew tired of the deafening sound of misguidance and injustice and the suffocating smell of corruption."
9%				So signs of rejection appeared and voices were raised calling for reform to remedy the situation and stop the rot.
9%				"They were joined by hundreds of intellectuals, dignitaries, merchants, and former officials."
9%				They submitted petitions and memoranda to the king urging reform.
9%				"In the Hegira year of 1411 during the Gulf war, a petition signed by about 400 figures was submitted to the king calling for rectification of the situation in the country and for an end to the injustice to the public, but he ignored the advice and ridiculed those who offered it, and the situation got worse."
9%				"Those who had offered the advice then sent more memoranda and petitions, the most important being the advice memorandum handed to the king in the month of Muharram 1413 Hegira [roughly 1992] which diagnosed the disease and prescribed the medicine with a sound Shari'ah approach and in a sound scientific way."
9%	othering			"It dwelt on the major gaps in the regime's philosophy and the main anomalies in the regime's foundations, pointing to the suffering of society's symbols and leaders calling for reform, such as the ulema, religious protagonists, tribal shaykhs, merchants, dignitaries, and university professors, who were marginalized, neutralized, and even pursued and harassed."
9%				It also dwelt on the country's laws and regulations and what they allowed and disallowed against God's will.
10%				"It discussed the state of the media in the country which became means for the advancement of individuals and relatives and for obliterating facts, falsifying the truth, defaming righteous people, and shedding crocodile tears for the nation's causes to mislead people without any serious action and to implement the enemies' plans to corrupt people, draw them away from their religion, and spread sin among the believers."
10%				"""Those who love (to see) scandal published and broadcast among the believers will have a grievous penalty in this life and in the hereafter."
10%				"God knows and ye know not"""
10%				[Koranic verse].
10%				It [the advice memorandum] discussed the people's violated legitimate rights and the administrative situation with all its inefficiency and corruption.
10%				"It pointed to the state's financial and economic situation and the terrible and frightful fate in store as a result of the debts of usury which have broken the state's back, and to the waste which has squandered the nation's wealth to satisfy personal wealth, resulting in taxes, duties, and excises imposed on the public."
10%				"The Prophet, may God's prayers and blessings be upon him, said about the woman who sinned, repented, and was dealt with accordingly: ""She repented and if one who imposes taxes repented in the same way he would be forgiven."""
11%				"That reflects the magnitude of the sin of the tax man, but some are publicly and over loudspeakers applauding him and his massive and permitted usury, but that is heresy."
11%				Reliance is on God who is the source of all power.
11%				"It exposed the despicable state of the social utilities in the country, which became even worse after the memorandum, and especially the water services, the most important element of livelihood."
11%				"It discussed the state of the Army whose small numbers, poor training, and inefficient command were exposed by the Gulf crisis, despite the astronomical and unreasonable figures which had been mentioned and could not remain a secret."
11%				"On justice and the courts, the memorandum showed that numerous Shari'ah laws had been suspended and replaced with temporal laws."
