progress,function,hostile,Interesting,text
0%,,,,Good evening.
0%,,,,"Today, our fellow citizens, our way of life, our very freedom came under attack in a series of deliberate and deadly terrorist acts."
0%,,,,"The victims were in airplanes or in their offices: secretaries, business men and women, military and federal workers, moms and dads, friends and neighbors."
0%,,,,"Thousands of lives were suddenly ended by evil, despicable acts of terror."
0%,,,,"The pictures of airplanes flying into buildings, fires burning, huge -- huge structures collapsing have filled us with disbelief, terrible sadness, and a quiet, unyielding anger."
0%,,,,These acts of mass murder were intended to frighten our nation into chaos and retreat.
1%,,,,But they have failed.
1%,elevation,,,Our country is strong.
1%,,,,A great people has been moved to defend a great nation.
1%,elevation,,,"Terrorist attacks can shake the foundations of our biggest buildings, but they cannot touch the foundation of America."
1%,elevation,,,"These acts shatter steel, but they cannot dent the steel of American resolve."
1%,elevation,,,America was targeted for attack because we're the brightest beacon for freedom and opportunity in the world.
1%,,,,And no one will keep that light from shining.
1%,elevation,,,"Today, our nation saw evil -- the very worst of human nature -- and we responded with the best of America."
1%,elevation,,,"With the daring of our rescue workers, with the caring for strangers and neighbors who came to give blood and help in any way they could."
1%,,,,"Immediately following the first attack, I implemented our government's emergency response plans."
1%,elevation,,,"Our military is powerful, and it's prepared."
1%,,,,Our emergency teams are working in New York City and Washington D.C. to help with local rescue efforts.
1%,,,,"Our first priority is to get help to those who have been injured, and to take every precaution to protect our citizens at home and around the world from further attacks."
1%,,,,The functions of our government continue without interruption.
1%,,,,Federal agencies in Washington which had to be evacuated today are reopening for essential personnel tonight and will be open for business tomorrow.
1%,elevation,,,"Our financial institutions remain strong, and the American economy will be open for business as well."
2%,,,,The search is underway for those who were behind these evil acts.
2%,,,,I have directed the full resources of our intelligence and law enforcement communities to find those responsible and to bring them to justice.
2%,,,,We will make no distinction between the terrorists who committed these acts and those who harbor them.
2%,elevation,,,I appreciate so very much the members of Congress who have joined me in strongly condemning these attacks.
2%,,,,"And on behalf of the American people, I thank the many world leaders who have called to offer their condolences and assistance."
2%,elevation,,,"America and our friends and allies join with all those who want peace and security in the world, and we stand together to win the war against terrorism."
2%,,,,"Tonight, I ask for your prayers for all those who grieve, for the children whose worlds have been shattered, for all whose sense of safety and security has been threatened."
2%,,,,"And I pray they will be comforted by a Power greater than any of us, spoken through the ages in Psalm 23:"
2%,,,,"Even though I walk through the valley of the shadow of death, I fear no evil for you are with me."
2%,elevation,,,This is a day when all Americans from every walk of life unite in our resolve for justice and peace.
